Plant Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Hollyleaf Cherry (Prunus ilicifolia),Tree,"30 - 49.2 ft tall
20 ft wide","Rounded, Upright Columnar","Fast, Moderate",Evergreen,"Cream, White","Winter, Spring",Many birds and some small mammals are attracted to the fruits,"Western Tiger Swallowtail
Papilio rutulus

Pale Tiger Swallowtail
Papilio eurymedon

Elegant Sphinx Moth
Sphinx perelegans

Epinotia lomonana

*
Lorquin's Admiral
Limenitis lorquini

*
California Hairstreak
Satyrium californica","Western Tiger Swallowtail
Papilio rutulus","Pale Tiger Swallowtail
Papilio eurymedon","Elegant Sphinx Moth
Sphinx perelegans",Epinotia lomonana,"Lorquin's Admiral
Limenitis lorquini","California Hairstreak
Satyrium californica",,"Full Sun, Part Shade",Very Low,Max 1x / month once established,Carried by 48,Very Easy,Tolerates cold to 15° F,"Fast, Medium","Tolerant of a variety of soils but will grow largest and fastest in coarse, fast draining, relatively fertile garden soil. Soil PH: 5.0 - 8.0","Bank Stabilization, Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Works with a wide variety of other trees and plants, including Manzanita (Arctostaphylos sp.), Coyotebrush (Baccharis pilularis), Barberry (Berberis sp.), Ceanothus sp., Redbud (Cercis occidentalis), Tree Poppy (Dendromecon rigida), toyon (Heteromeles arbutifolia), Bushmallow (Malacothamnus fasciculatus), Pines (Pinus sp.), Oak (Quercus sp.), Flannelbush (Fremontodendron sp.), Currant (Ribes sp.), and many others.",For propagating by seed: Fresh seeds need no treatment; stored seeds 1-3 mos. stratification may improve germination.,"Slopes of the coast-facing mountains, extending inland to the desert transition and 1,600 m elevation","Annual Precipitation: 4.6"" - 52.9"", Summer Precipitation: 0.13"" - 3.04"", Coldest Month: 33.4"" - 57.3"", Hottest Month: 62.3"" - 84.0"", Humidity: 0.47"" - 34.82"", Elevation: 0"" - 6785""","Common Names: Catalina Island Cherry, Holly-leaf Cherry, Holly-leaved Cherry",,,
Arroyo Willow (Salix lasiolepis),"Tree, Shrub","7 - 35 ft tall
15 ft wide","Upright, Rounded, Upright Columnar","Fast, Moderate",Winter Deciduous,"Cream, Yellow","Winter, Spring","Willows (Salix sp.) in general are very important wildlife plants, used by numerous birds, insects, amphibians and mammals","Western Tiger Swallowtail
Papilio rutulus

Lorquin's Admiral
Limenitis lorquini

Sylvan Hairstreak
Satyrium sylvinus

Fruit-Tree Leafroller Moth
Archips argyrospila

Willow Leaf Blotch Miner
Phyllonorycter salicifoliella

Orange Tortrix Moth
Argyrotaenia franciscana","Western Tiger Swallowtail
Papilio rutulus","Lorquin's Admiral
Limenitis lorquini","Sylvan Hairstreak
Satyrium sylvinus","Fruit-Tree Leafroller Moth
Archips argyrospila","Willow Leaf Blotch Miner
Phyllonorycter salicifoliella","Orange Tortrix Moth
Argyrotaenia franciscana",,Full Sun,Moderate - High,Keep moist,Carried by 38,Very Easy,Tolerates cold to -15° F,"Slow, Standing",Tolerates a variety of soils as long as adequate drainage is provided. Soil PH: 5.0 - 8.0,"Bogs and Ponds, Hedges, Bird Gardens, Butterfly Gardens, Bee Gardens","Use with other wetland plants such as Cattail (Typha sp.), Maple (Acer sp.), Alder (Alnus sp.), Mulefat (Baccharis salicifolia), Spicebush (Calycanthus occidentalis), Dogwood (Cornus sp.), Oceanspray (Holodiscus discolor), Black Walnut (Juglans sp.), Sycamore (Platanus racemosa), Cottonwood (Populus sp.), Currant (Ribes sp.), and California Wild Rose (Rosa californica)","Numerous insects, especially wasps, lay their eggs on willow leaves, forming galls. Though sometimes unsightly, these galls are usually not harmful to the plant and should not be viewed as pests.. It can be pruned or sheared in winter to form a hedge",For propagating by seed: No treatment. Use fresh seeds (usually only viable a few days). Seeds should not be covered or pressed into a medium. Seedbed should be kept saturated for the first month. Easily propogated from cuttings.,"1, 2, 3, 4, 5, 6*, 7*, 8*, 9*, 10, 11, 12, 13, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Shores, marshes, meadows, springs, other moist areas","Annual Precipitation: 3.2"" - 151.0"", Summer Precipitation: 0.14"" - 5.63"", Coldest Month: 19.2"" - 57.0"", Hottest Month: 41.2"" - 83.5"", Humidity: 0.10"" - 35.42"", Elevation: -714"" - 12704""","Botanical Names: Salix lasiolepis var. bigelovii
Common Names: Arroyo Uillou",
Seep Monkey Flower (Erythranthe guttata),"Annual herb, Perennial herb","2 - 5 ft tall
0.6 ft wide",Upright,Fast,Winter Deciduous,None,Yellow,"Spring, Winter",,"Mylitta Crescent
Phyciodes mylitta

Annaphila lithosina

*
Common Buckeye
Junonia coenia

*
Variable Checkerspot
Euphydryas chalcedona

*
Edith's Checkerspot
Euphydryas editha

*
White-lined Sphinx
Hyles lineata","Mylitta Crescent
Phyciodes mylitta",Annaphila lithosina,"Common Buckeye
Junonia coenia","Variable Checkerspot
Euphydryas chalcedona","Edith's Checkerspot
Euphydryas editha","White-lined Sphinx
Hyles lineata",,"Part Shade, Full Sun",Moderate - High,Max 1x / week once established,Carried by 33,Very Easy,Tolerates cold to -15° F,"Slow, Standing",Tolerates a variety of soils as long as adequate drainage is provided. Soil PH: 5.0 - 8.0,"Bogs and Ponds, Deer Resistant, Hummingbird Gardens, Bird Gardens, Butterfly Gardens, Bee Gardens","Use with other plants that need moist soil such as Scarlet Monkeyflower (Mimulus cardinalis), Stream Orchid (Epipactis gigantea), Hedge Nettle (Stachys bullata), and various Carex and Juncus species","Deadhead for a better appearance and to prolong blooming, or leave old flowers in place to encourage re-seeding.",Usually self-sows.  For propagating by seed: No treatment.,"1, 2, 3, 4, 5, 6, 7*, 8*, 9*, 10, 11, 12, 14*, 15, 16, 17, 18*, 19*, 20*, 21*, 22*, 23*, 24","Wet places, terrestrial, emergent or floating in mats","Annual Precipitation: 4.4"" - 126.2"", Summer Precipitation: 0.14"" - 3.94"", Coldest Month: 19.3"" - 61.4"", Hottest Month: 44.6"" - 88.8"", Humidity: 0.04"" - 40.42"", Elevation: -253"" - 10662""","Botanical Names: Mimulus guttatus,Mimulus microphyllus,Mimulus glabratus ssp. utahensis,Mimulus whipplei
Common Names: Common Large Monkeyflower, Common Monkeyflower, Common Yellow Monkeyflower, Seep Monkey-flower, Seep Monkeyflower, Yellow Monkey Flower"
Sky Lupine (Lupinus nanus),Annual Herb,"0.33 - 2 ft tall
1 ft wide","Pyramidal, Spreading",Fast,Summer Deciduous,Fragrant - Pleasant,"Blue, Lavender","Winter, Spring","native bees, butterflies, butterflies, hummingbirds","*
Painted Lady
Vanessa cardui

*
Gray Hairstreak
Strymon melinus

*
Acmon Blue
Icaricia acmon

*
Orange Sulphur
Colias eurytheme

*
Silvery Blue
Glaucopsyche lygdamus

*
Shasta Blue
Icaricia shasta","Painted Lady
Vanessa cardui","Gray Hairstreak
Strymon melinus","Acmon Blue
Icaricia acmon","Orange Sulphur
Colias eurytheme","Silvery Blue
Glaucopsyche lygdamus","Shasta Blue
Icaricia shasta",,Full Sun,"Very Low, Low",Max 2x / month once established,Carried by 13,Moderately Easy,Tolerates cold to 30 degrees° F,"Fast, Medium, Slow",Tolerates sandy or clay soils. Soil PH: 5.4 - 7.7,"Bird Gardens, Bee Gardens","Use with medium size shrubs that won't overwhelm it, such as California Brittlebush (Encelia californica), Manzanita (Arctostaphylos sp.), Ceanothus sp. Redberry (Rhamnus crocea); with succulents such as Dudleya sp., Yucca (Hesperoyucca and Yucca sp.) and cacti; with other wildflowers such as California poppy (Eschscholzia californica), Penstemon sp., Clarkia sp.; and with geophytes such as Wild Onioins (Allium sp.), Brodiaea sp., Mariposa Lily (Calochortus sp.), Dichelostemma sp.",For propagating by seed: Fresh seeds need no treatment. Stored seeds scarification or hot water. No treatment may give fair germination.,Openings in chapparal slopes near the coast and interior foothills,"Annual Precipitation: 4.4"" - 92.8"", Summer Precipitation: 0.13"" - 2.39"", Coldest Month: 19.6"" - 61.4"", Hottest Month: 41.4"" - 88.8"", Humidity: 0.30"" - 42.79"", Elevation: -69"" - 12692""",Common Names: Valley Sky Lupine,,
Menzies' Goldenbush (Isocoma menziesii),Shrub,"1.6 - 3.3 ft tall
5 ft wide",Spreading,Summer Semi-Deciduous,Yellow,"Spring, Summer, Fall",Numerous insects including butterflies,"*
White-lined Sphinx
Hyles lineata

*
Sunflower Moth
Homoeosoma electella

*
Orange Tortrix Moth
Argyrotaenia franciscana

*
Schinia erosa

*
Sonia vovana

*
Diastictis sperryorum","White-lined Sphinx
Hyles lineata","Sunflower Moth
Homoeosoma electella","Orange Tortrix Moth
Argyrotaenia franciscana",Schinia erosa,Sonia vovana,Diastictis sperryorum,,"Part Shade, Full Sun",Low,Max 2x / month once established,Carried by 19,Very Easy,Tolerates cold to 0° F,"Fast, Medium",Typically sandy. Soil PH: 6.0 - 7.5,"Groundcovers, Butterfly Gardens, Bee Gardens","Use with low growing coastal species such as Verbena (Abronia sp.), Sagebrush (Artemisia californica or pycnocephala), Morningglory (Calystegia macrostegia or soldanella), PrimRose (Camissoniopsis sp.), Cobweb Thistle (Cirsium occidentale), Clarkia sp., Seacliff Buckwheat (Eriogonum parvifolium), Western Wallflower (Erysimum capitatum), Lupine (Lupinus sp.), and Cardinal Catchfly (Silene laciniata)",Coastal bluffs and other sandy places near the coast and extending to some inland canyons and slopes,"Annual Precipitation: 7.2"" - 46.5"", Summer Precipitation: 0.14"" - 1.65"", Coldest Month: 37.7"" - 57.3"", Hottest Month: 60.0"" - 83.4"", Humidity: 0.68"" - 34.96"", Elevation: -30"" - 5181""","Botanical Names: Haplopappus venetus
Common Names: White-flowered Goldenbush",,,,,
Southern Honeysuckle (Lonicera subspicata),Shrub,"8 ft tall
20 ft wide",Spreading,Evergreen,Fragrant - Pleasant,"Cream, Yellow","Spring, Summer","Many insects are attracted to the flowers, including butterflies. Birds are attracted to the berries.","Ashy Pleromelloida Moth
Pleromelloida cinerea

Behrensia conchiformis

*
Variable Checkerspot
Euphydryas chalcedona

*
White-lined Sphinx
Hyles lineata

*
Genista Caterpillar
Uresiphita reversalis

*
Corn Earworm Moth
Helicoverpa zea","Ashy Pleromelloida Moth
Pleromelloida cinerea",Behrensia conchiformis,"Variable Checkerspot
Euphydryas chalcedona","White-lined Sphinx
Hyles lineata","Genista Caterpillar
Uresiphita reversalis","Corn Earworm Moth
Helicoverpa zea",,"Part Shade, Full Sun",Low,Max 2x / month once established,Carried by 18,Moderately Easy,Tolerates cold to 5° F,"Medium, Slow",Tolerant of a variety of soils including clay and decomposed granite.. Soil PH: 6.0 - 7.5,"Bank Stabilization, Bird Gardens, Butterfly Gardens, Deer Resistant, Groundcovers, Hedges, Hummingbird Gardens","Many companion plants including Manzanita (Arctostaphylos sp.), Ceanothus sp., coyote bush (Baccharis pilularis), San Diego Viguiera (Bahiopsis laciniata), Barberry (Berberis sp.), Mountain Mahogany (Cercocarpus betuloides or minutiflorus), Bushrue (Cneoridium dumosum), Summer Holly (Comarostaphylis diversifolia), Tree Poppy (Dendromecon rigida), California Brittlebush (Encelia californica), Goldenbush (Ericameria sp.), Yerba Santa (Eridoctyon sp.), Buckwheat (Eriogonum sp.), Flannelbush (Fremontodendron sp.), Silk Tassel Bush (Garrya sp.), toyon (Heteromeles arbutifolia), Pitcher Sage (Lepechinia sp.), Bush Mallow (Malacothamnus sp.), Sticky Monkeyflower (Mimulus aurantiacus), Hollyleaf Cherry (Prunus ilicifolia), Oaks (Quercus sp.), Lemonade Berry (Rhus integrifolia), wild Currant (Ribes sp.), Sage (Salvia sp.), Woolly Bluecurls (Trichotema lanatum), and Mission Manzanita (Xylococcus bicolor).","Do not prune new, young growth because that is where the flowers and fruit are borne. Remove older growth to shape and to stimulate growth of new stems.",Seed or cuttings,"Coastal plains, foothills and the west slope of the mountains from the Bay Area southward, typically in the partial shade of oaks or chaparral species","Annual Precipitation: 8.3"" - 45.8"", Summer Precipitation: 0.14"" - 2.95"", Coldest Month: 37.8"" - 56.5"", Hottest Month: 60.3"" - 81.1"", Humidity: 0.71"" - 29.91"", Elevation: -18"" - 8079""",,,
Purple Owl's Clover (Castilleja exserta),Annual Herb,"1.5 ft tall
1 ft wide","Fast, Moderate","Lavender, Pink, Purple, White",Spring,"The flowers attract bees and butterflies. This is a crucial host plant for the Bay Checkerspot butterfly, a threatened species in California. The Castilleja genus is beneficial for the Leanira Checkerspot and Chalcedon Checkerspot butterflies.","Common Buckeye
Junonia coenia

Variable Checkerspot
Euphydryas chalcedona

Schinia pulchripennis

Schinia crotchii

*
Northern Checkerspot
Chlosyne palla

*
Edith's Checkerspot
Euphydryas editha","Common Buckeye
Junonia coenia","Variable Checkerspot
Euphydryas chalcedona",Schinia pulchripennis,Schinia crotchii,"Northern Checkerspot
Chlosyne palla","Edith's Checkerspot
Euphydryas editha",,Full Sun,"Very Low, Low",Carried by 8,Moderately Easy,Tolerates cold to 15° F,"Fast, Medium, Slow","Tolerant of sand and clay, prefers fast-draining soil. Soil PH: 5.0 - 8.0","Butterfly Gardens, Bee Gardens","Use in a meadow-like planting with other annuals such as Clarkis sp., California poppy (Eschscholzia californica), Baby Blue-eyes (Nemophila menziesii), and Lupine (Lupinus sp.); also with geophytes such as Wild Onions (Allium sp.), Ithuriels's Spear (Triteleia laxa), Blue Dicks (Dichelostemma capitatum), and Mariposa Lily (Calochortus sp.).",By seed. It must be planted with a perennial host plant such as a native grass (Stipa or other species).,Grasslands and openings in chaparral or woodlands; occasionally in desert areas,"Annual Precipitation: 3.4"" - 68.1"", Summer Precipitation: 0.13"" - 2.98"", Coldest Month: 24.6"" - 58.8"", Hottest Month: 45.5"" - 87.5"", Humidity: 0.19"" - 38.31"", Elevation: -73"" - 11310""","Botanical Names: Orthocarpus purpurascens
Common Names: Exserted Indian Paintbrush",,,,,,
Clustered Field Sedge (Carex praegracilis),Grass,"2 - 3.5 ft tall
3.5 ft wide","Upright, Mounding",Moderate,Evergreen,Green,Spring,,"*
Umber Skipper
Poanes melane

*
Common Ringlet
Coenonympha tullia

*
Dun Skipper
Euphyes vestris

*
White-lined Sphinx
Hyles lineata

*
American Ear Moth
Amphipoea americana

*
Mountain Beauty Moth
Syngrapha ignea","Umber Skipper
Poanes melane","Common Ringlet
Coenonympha tullia","Dun Skipper
Euphyes vestris","White-lined Sphinx
Hyles lineata","American Ear Moth
Amphipoea americana","Mountain Beauty Moth
Syngrapha ignea",,Full Sun,"Low, Moderate - High",Max 1x / month once established,Carried by 53,Very Easy,Tolerates cold to -5° F,"Fast, Medium, Slow","Tolerant of a variety of soils as long as sufficient moisture is provided. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 6.0 - 7.0","Groundcovers, Deer Resistant","Can be used with other plants of moist or semi-moist areas, including Marsh Elder (Iva hayesiana), Alkali Heath (Frankenia salina), Cardinal Monkeyflower (Mimulus cardinalis), Scarlet Lobelia (Lobelia cardinalis), Yerba Santa (Anemopsis californica), Blue-eyed Grass (Sisyrinchium bellum), Marsh Fleabane (Pluchea odorata), Iris sp., Dwarf Juniper (Juniperus communis), Deer Grass (Muhlenbergia sp.), Strawberry (Fragraria sp.), and Rushes (Juncus sp.)",Quite pest resistant.. Can be mowed to the ground to create a lawn-like appearance -- it is a useful lawn substitute. Mowing every 4-6 weeks encourages tillering,Propogate by bare root divisions.,"Moist and semi-moist areas such as meadows, seeps, stream banks and lake/pond shoreline","Annual Precipitation: 3.8"" - 95.5"", Summer Precipitation: 0.15"" - 2.82"", Coldest Month: 21.5"" - 56.7"", Hottest Month: 43.3"" - 82.7"", Humidity: 0.39"" - 34.60"", Elevation: -16"" - 10745""","Common Names: Expressway Sedge, Slim Sedge",,
Island Morning Glory (Calystegia macrostegia),"Perennial herb, Shrub, Vine","1 ft tall
20 - 30 ft wide",Spreading,Fast,Summer Semi-Deciduous,"Pink, White","Winter, Spring, Summer",,"Orange Tortrix Moth
Argyrotaenia franciscana

*
White-lined Sphinx
Hyles lineata

*
Morning-glory Plume Moth
Emmelina monodactyla

*
Yellowstriped Armyworm Moth
Spodoptera ornithogalli","Orange Tortrix Moth
Argyrotaenia franciscana","White-lined Sphinx
Hyles lineata","Morning-glory Plume Moth
Emmelina monodactyla","Yellowstriped Armyworm Moth
Spodoptera ornithogalli",Full Sun,Very Low,Max 1x / week once established,Carried by 19,Very Easy,Tolerates cold to 10° F,"Fast, Medium",Typically sandy and/or rocky soil. Soil PH: 6.0 - 8.0,"Groundcovers, Bee Gardens","Island companion plants include Santa Cruz Island Ironwood (Lyonothamnus floribundus ssp. asplenifolius), Island Live Oak (Quercus tometella), Catalina Cherry (Prunus ilicifolia ssp. lyonii), Island Bristleweed (Hazardia detonsa), Redflower Buckwheat (Eriogonum grande var. rubescens), Island Snapdragon (Gambelia speciosa), and Giant Coreopsis (Leptosyne gigantea). Other chaparral and sage scrub companions include California Encelia (Encelia californica), California Sagebrush (Artemisia californica), Bladderpod (Peritoma arborea), and Ceanothus spp.",Prune in winter to control spread and encourage new growth and flowering,"Dry, rocky places typically near the coast but sometimes in interior mountains and canyons","Annual Precipitation: 3.7"" - 52.0"", Summer Precipitation: 0.14"" - 1.89"", Coldest Month: 34.9"" - 57.6"", Hottest Month: 58.2"" - 86.2"", Humidity: 0.60"" - 37.19"", Elevation: -2547"" - 6450""","Common Names: Island False Bindweed, Island Morning-glory",,,,,,
California Cudweed (Pseudognaphalium californicum),"Perennial herb, Annual herb","0.7 - 2.8 ft tall
2 ft wide",Summer Semi-Deciduous,Fragrant - Pleasant,"Cream, White, Green","Winter, Spring, Summer",This is a larval host plant for Painted Lady butterflies,"*
American Lady
Vanessa virginiensis

*
White-lined Sphinx
Hyles lineata

*
Orange Tortrix Moth
Argyrotaenia franciscana

*
Egira hiemalis

*
Everlasting Tebenna Moth
Tebenna gnaphaliella

*
Hellinsia phoebus","American Lady
Vanessa virginiensis","White-lined Sphinx
Hyles lineata","Orange Tortrix Moth
Argyrotaenia franciscana",Egira hiemalis,"Everlasting Tebenna Moth
Tebenna gnaphaliella",Hellinsia phoebus,,Full Sun,"Very Low, Low,",Max 1x / month once established,Carried by 15,Moderately Easy,Tolerates cold to -15° F,"Fast, Medium, Slow","Very tolerant of various soils including clay, shale, sand, etc.. Tolerates Saline Soil,Tolerates Serpentine Soil,Tolerates Sodic Soil. Soil PH: 5.0 - 8.0","Butterfly Gardens, Bee Gardens","Works with a wide variety of other plants. In the wild it is often found with other pioneer species such as Lotus (Acmispon sp.), native grasses, and wildflowers such as California poppy (Eschscholzia californica).",Easily propagated from seed and readily re-seeds itself in the garden,"4, 5, 6, 7*, 8, 9, 10, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","This is a pioneer species that is most often found in disturbed areas, but also found in openings in coastal sage scrub, chaparral or woodlands and along creekbeds","Annual Precipitation: 4.1"" - 77.1"", Summer Precipitation: 0.14"" - 2.72"", Coldest Month: 27.0"" - 59.5"", Hottest Month: 56.3"" - 87.8"", Humidity: 0.09"" - 38.67"", Elevation: -253"" - 7620""","Botanical Names: Gnaphalium californicum
Common Names: California Everlasting, California Rabbit Tobacco, Green Everlasting, Ladies' Tobacco",,,
Sawtooth Goldenbush (Hazardia squarrosa),Shrub,"4 - 8 ft tall
8 ft wide",Summer Semi-Deciduous,"Yellow, Green","Summer, Fall","Insects, including butterflies","Isophrictis magnella

*
Gabb's Checkerspot
Chlosyne gabbii

*
White-lined Sphinx
Hyles lineata

*
Cucullia incresa",Isophrictis magnella,"Gabb's Checkerspot
Chlosyne gabbii","White-lined Sphinx
Hyles lineata",Cucullia incresa,"Full Sun, Part Shade","Very Low, Low",Max 1x / month once established,Carried by 7,Very Easy,Tolerates cold to 5° F,"Fast, Medium, Slow",Tolerates clay soil but is more commonly found on sandy soils. Soil PH: 6.0 - 8.0,Bird Gardens,"Use with Sagebrush (Artemisia californica or palmeri), Viguiera (Bahiopsis laciniata), Dudleya sp., Brittlebush (Encelia californica), Buckwheat (Eriogonum sp.), Yucca (HerperoYucca whipplei or Yucca shidigera), Lupine (Lupinus sp.), Sticky Monkeyflower (Mimulus aurantiacus), Bladderpod (Peritoma arborea), Scrub Oak (Quercus dumosa or berberidifolia), Sage (Salvia sp.), and various cactus species.",Flats and canyon bottoms,"Annual Precipitation: 4.0"" - 74.1"", Summer Precipitation: 0.14"" - 2.82"", Coldest Month: 33.5"" - 56.8"", Hottest Month: 57.7"" - 87.2"", Humidity: 0.77"" - 38.18"", Elevation: -30"" - 7419""","Common Names: Saw-toothed Goldenbush, Sawtooth Bristleweed",,,,,,,,,
Hooker's Evening Primrose (Oenothera elata),Perennial herb,"5 ft tall
3 ft wide","Upright, Rounded","Fast, Moderate",None,"Yellow, Orange","Summer, Fall","A number of insects use this plant, particularly the large Sphinx moths. Hummingbirds are attracted to the flowers, and smaller birds such as Goldfinches are attracted to the seeds in fall","*
White-lined Sphinx
Hyles lineata

*
Dusky Raisin Moth
Ephestiodes gilvescentella

*
Pacific Green Sphinx Moth
Proserpinus lucidus

*
Phaeton Primrose Sphinx Moth
Euproserpinus phaeton

*
Common Eupithacia
Eupithecia miserulata

*
Ridings' Forester Moth
Alypia ridingsii","White-lined Sphinx
Hyles lineata","Dusky Raisin Moth
Ephestiodes gilvescentella","Pacific Green Sphinx Moth
Proserpinus lucidus","Phaeton Primrose Sphinx Moth
Euproserpinus phaeton","Common Eupithacia
Eupithecia miserulata","Ridings' Forester Moth
Alypia ridingsii",,"Part Shade, Full Sun",Low,Max 1x / week once established,Carried by 19,Very Easy,Tolerates cold to -20° F,"Medium, Slow",Tolerates virtually any soil. Soil PH: 4.0 - 7.0,"Can be used with virtually any other native plants. In a wet garden setting, use with Seep Monkeyflower (Mimulus guttatus), Scarlet Monkeyflower (Mimulus cardinalis), Stream Orchid (Epipactis gigantea), Yerba Mansa (Anemopsis californica), Hedgenettle (Stachys bullata), and with trees including Willow (Salix sp.), and Cottonwood (Populus fremontii or trichocarpa)",Prune in winter to control ranginess. Can be pruned radically and recovers quickly,Readily from seed,"Freshwater wetlands, other moist places, and disturbed places","Annual Precipitation: 4.8"" - 86.0"", Summer Precipitation: 0.15"" - 3.85"", Coldest Month: 10.8"" - 56.3"", Hottest Month: 34.1"" - 84.0"", Humidity: 0.05"" - 34.80"", Elevation: -22"" - 14090""",Common Names: Hooker's Evening-primrose,,,
Coastal Bush Lupine (Lupinus arboreus),Shrub,"3.5 - 7 ft tall
4 ft wide",Upright,"Fast, Moderate",Evergreen,"Yellow, Lavender",Spring,,"Silvery Blue
Glaucopsyche lygdamus

West Coast Lady
Vanessa annabella

Ranchman's Tiger Moth
Arctia virginalis

Genista Caterpillar
Uresiphita reversalis

Sweetclover Root Borer Moth
Walshia miscecolorella

Orange Tortrix Moth
Argyrotaenia franciscana","Silvery Blue
Glaucopsyche lygdamus","West Coast Lady
Vanessa annabella","Ranchman's Tiger Moth
Arctia virginalis","Genista Caterpillar
Uresiphita reversalis","Sweetclover Root Borer Moth
Walshia miscecolorella","Orange Tortrix Moth
Argyrotaenia franciscana",,Full Sun,"Extremely Low, Very Low, Moderate - High",Max 2x / month once established,Carried by 32,Tolerates cold to -12° F,Fast,Typically sandy soil. Soil PH: 4.0 - 7.0,"Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens",Use with other chaparral and coastal strand species.,"Readily self-sows. Because of its invasive tendency, it is advisable to remove seed pods as soon as they develop.","4*, 5*, 14, 15*, 16*, 17*, 19, 21, 22*, 23*, 24*","Bluffs, dunes and slopes","Annual Precipitation: 10.8"" - 76.4"", Summer Precipitation: 0.14"" - 2.52"", Coldest Month: 41.0"" - 55.5"", Hottest Month: 56.5"" - 78.2"", Humidity: 0.01"" - 25.97"", Elevation: -123"" - 5560""","Common Names: Tree Lupine, Yellow Bush Lupine",,,
Spiny Rush (Juncus acutus),"Grass, Shrub","5 ft tall
5 ft wide",Fountain,Moderate,Evergreen,None,Brown,,"*
White-lined Sphinx
Hyles lineata

*
Yellow-Collared Scape Moth
Cisseps fulvicollis

*
Javelin Moth
Bactra verutana

*
Mottled Marble
Bactra furfurana","White-lined Sphinx
Hyles lineata","Yellow-Collared Scape Moth
Cisseps fulvicollis","Javelin Moth
Bactra verutana","Mottled Marble
Bactra furfurana",Full Sun,Moderate - High,Keep moist,Carried by 13,Very Easy,Tolerates cold to 25° F,"Slow, Standing","Tolerates almost any soil as long as adequate moisture is present. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 5.0 - 9.0","Bogs and Ponds, Groundcovers","Use with plants from similar wet, salty or alkaline places, such as Saltbush (Atriplex sp.), Sedge (Carex sp.), Saltgrass (Distichlis spicata), Beaked Spikerush (Eleocharis rostellata), Palmer's Frankenia (Frankenia palmeri), San Diego Marsh Elder (Iva hayesiana), Baja Desert Thorn (Lycium brevipes)",For propagating by seed: No treatment.,"Seeps, meadows, salt marsh, dunes, and adjacent areas, primarily along the southern coast","Annual Precipitation: 2.7"" - 36.4"", Summer Precipitation: 0.15"" - 1.38"", Coldest Month: 42.1"" - 60.1"", Hottest Month: 62.6"" - 88.8"", Humidity: 0.92"" - 40.20"", Elevation: -142"" - 3968""",,,,,,,
Deerweed (Acmispon glaber),Perennial herb,"1.6 - 3 ft tall
3 ft wide",Fountain,Fast,"Summer Semi-Deciduous, Winter Deciduous",None,Yellow,"Winter, Spring, Summer","An important pollinator plant, it is host plant to Bramble Hairstreak, Afranius Duskywing, Persius Duskywing, and Acmon Blue butterflies. It is a nectar plant for other butterflies including the Chalcedon Checkerwing","Acmon Blue
Icaricia acmon

Orange Sulphur
Colias eurytheme

Silvery Blue
Glaucopsyche lygdamus

Marine Blue
Leptotes marina

Queen Alexandra's Sulphur
Colias alexandra

Bramble Hairstreak
Callophrys dumetorum","Acmon Blue
Icaricia acmon","Orange Sulphur
Colias eurytheme","Silvery Blue
Glaucopsyche lygdamus","Marine Blue
Leptotes marina","Queen Alexandra's Sulphur
Colias alexandra","Bramble Hairstreak
Callophrys dumetorum",,Full Sun,Very Low,Max 1x / month once established,Carried by 30,Tolerates cold to 15° F,Medium,Tolerates a wide variety of soils. Soil PH: 5.2 - 8.2,"Bee Gardens, Butterfly Gardens","Deerweed has no particular companion plants in the wild, but it can be used with virtually any other natives.",Can be cut back in late summer or early fall to stimulate new growth,"Most often seen in burned or disturbed areas along the coast and inland foothills, valleys and mountains","Annual Precipitation: 3.6"" - 69.6"", Summer Precipitation: 0.14"" - 2.77"", Coldest Month: 34.4"" - 59.1"", Hottest Month: 57.9"" - 88.0"", Humidity: 0.38"" - 38.93"", Elevation: -18"" - 7469""","Botanical Names: Lotus scoparius
Common Names: Common Deerweed",,,
